root,Ja,word&joined,meaning
agri,畑,agriculture「畑を耕すこと→,農業」
alti,高い,altitude「高い状態→,高度」
anni,年,anniversary「年ごとに巡るもの→,記念日」
avi,鳥,aviation「鳥が飛ぶ行為→,飛行」
bene,良い,benefit「良い行為→,利益」
bio,生命,biography「生命について書かれたもの→,伝記」
cap(t),つかむ,capture「つかむこと→,捕獲」
ceive,つかむ,perceive「すっかりつかむ→,知覚する」
cern,分ける,discern「別に分ける→,識別する」
cipate,つかむ,anticipate「先につかむ→,予期する」
clude,閉じる,exclude「外へ閉じる→,除外する」
cord,心,accord「心の方へ→,同意」
cure,心配,secure「心配がない→,安全」
cuse,告訴,accuse「告訴の方へ→,告訴する」
demo,人民,democracy「人民の政体→,民主主義」
dic(t),言う,predict「あらかじめ言う→,予言する」
dubi,疑い,dubious「疑いのある→,疑わしい」
duce,導く,produce「前へ導く→,生産する」
duct,導く,conduct「共に導く→,行う」
eco,家,economy「家の管理→,経済」ecology「家＝生息地に関する学問→,生態学」
feat,行う,defeat「もとどおりにする→,負かす」
fer,運ぶ,prefer「…の前に運ぶ→,好む」
fide,信頼する,confide「すっかり信頼する→,打ち明ける」
fort,強い,comfort「すっかり強くする→,慰める」
ge(o),地,geometry「土地の測定法→,幾何学」
gener,誕生,generate「誕生させる→,発生させる」
gener,種類,general「種全体の→,全般的な」
grade,段階,degrade「段階を下げる→,降格する」
herit,相続する,heritage「相続するもの→,遺産」
hum,湿気,humid「湿気のある」
ject,投げる,reject「投げ返す→,拒否する」
